121.999 37.1805
122.009 37.1818
122.297 37.4
122.305 37.41
122.014 37.229
122.001 37.2185
122.062 37.2793
122.059 37.2915
122.278 37.3783
122.265 37.355
122.143 37.2683
122.162 37.2933
122.14 37.2433
122.15 37.2817
122.17 37.33
122.145 37.318
122.185 37.3217
122.178 37.325
122.165 37.3167
122.154 37.3083
122.088 37.292
122.093 37.2967
122.092 37.2942
122.29 37.4763
122.352 37.4483
122.338 37.45
122.099 37.3363
122.132 37.3333
122.111 37.3342
122.187 37.315
122.203 37.3233
122.205 37.3217
122.12 37.2583
121.867 37.1598
121.934 37.1962
121.933 37.2117
121.936 37.1998
121.957 37.1925
121.899 37.1605
121.949 37.192
121.876 37.1595
121.882 37.1763
122.181 37.3083
122.173 37.31
121.977 37.2057
121.984 37.207
121.983 37.2043
122.245 37.3633
122.236 37.365
122.225 37.3683
122.245 37.3667
